     Day  Month  Year  MinTemp  MaxTemp  Precipitation  ReferenceET
0      1      1  2024    16.85    25.42           0.39         1.04
1      2      1  2024    17.46    25.45           0.44         1.14
2      3      1  2024    18.14    24.46           0.71         0.87
3      4      1  2024    17.63    25.99           0.16         1.02
4      5      1  2024    17.27    26.51           0.07         1.12
5      6      1  2024    17.76    26.40           0.02         1.09
6      7      1  2024    16.71    26.88           0.07         1.16
7      8      1  2024    15.90    26.75           0.02         1.12
8      9      1  2024    15.30    26.48           0.32         0.96
9     10      1  2024    16.78    26.60           0.20         1.11
10    11      1  2024    15.05    25.15           0.01         1.15
11    12      1  2024    14.44    25.85           0.03         1.13
12    13      1  2024    14.84    24.62           0.03         1.20
13    14      1  2024    14.19    24.87           0.02         1.09
14    15      1  2024    12.91    24.79           0.00         1.06
15    16      1  2024    12.79    26.15           0.04         1.05
16    17      1  2024    15.61    26.13           0.18         1.19
17    18      1  2024    15.91    26.06           0.30         1.14
18    19      1  2024    15.08    25.65           0.06         1.21
19    20      1  2024    15.09    25.80           0.04         1.07
20    21      1  2024    14.77    26.31           0.01         1.11
21    22      1  2024    14.80    26.82           0.00         1.13
22    23      1  2024    16.49    27.05           0.00         1.10
23    24      1  2024    17.00    27.64           0.00         1.10
24    25      1  2024    17.49    27.37           0.00         1.07
25    26      1  2024    16.41    27.44           0.00         1.17
26    27      1  2024    15.30    26.61           0.00         1.20
27    28      1  2024    15.88    27.53           0.00         1.06
28    29      1  2024    18.41    27.66           0.00         1.28
29    30      1  2024    17.17    27.68           0.00         1.11
30    31      1  2024    18.07    27.25           0.00         1.25
31     1      2  2024    16.68    27.75           0.00         1.34
32     2      2  2024    16.03    27.99           0.00         1.37
33     3      2  2024    17.34    28.09           0.01         1.31
34     4      2  2024    17.28    27.24           0.10         1.34
35     5      2  2024    18.02    25.36           0.65         1.27
36     6      2  2024    17.72    26.87           1.48         1.20
37     7      2  2024    17.63    28.40           0.25         1.31
38     8      2  2024    18.14    27.41           0.07         1.27
39     9      2  2024    17.88    27.69           0.15         1.50
40    10      2  2024    17.72    26.27           0.07         1.34
41    11      2  2024    17.43    27.87           0.03         1.40
42    12      2  2024    17.88    28.10           0.06         1.16
43    13      2  2024    18.57    27.99           0.07         1.21
44    14      2  2024    18.45    28.71           0.12         1.39
45    15      2  2024    18.44    27.95           0.74         1.25
46    16      2  2024    17.20    28.30           1.84         1.40
47    17      2  2024    18.63    28.89           2.59         1.29
48    18      2  2024    19.29    28.71           0.16         1.22
49    19      2  2024    17.49    29.55           0.05         1.19
50    20      2  2024    19.31    28.80           0.06         1.10
51    21      2  2024    17.68    28.09           0.00         1.36
52    22      2  2024    16.25    28.82           0.03         1.48
53    23      2  2024    16.33    27.75           0.01         1.69
54    24      2  2024    16.77    27.38           0.06         1.63
55    25      2  2024    18.62    27.58           0.03         1.51
56    26      2  2024    18.84    27.13           0.02         1.59
57    27      2  2024    18.05    28.32           0.06         1.68
58    28      2  2024    17.37    29.22           0.01         1.51
59     1      3  2024    16.85    29.66           0.00         1.47
60     2      3  2024    18.70    27.95           0.13         1.24
61     3      3  2024    19.02    30.18           0.00         1.68
62     4      3  2024    17.92    31.28           0.00         1.67
63     5      3  2024    18.09    29.77           0.17         1.45
64     6      3  2024    19.10    29.06           0.00         1.52
65     7      3  2024    17.98    30.43           0.00         1.73
66     8      3  2024    16.42    30.16           0.01         1.63
67     9      3  2024    16.53    31.01           0.00         1.56
68    10      3  2024    15.11    30.25           0.00         1.53
69    11      3  2024    15.54    31.08           0.00         1.69
70    12      3  2024    17.89    30.55           0.00         0.83
71    13      3  2024    19.84    29.68           0.00         1.31
72    14      3  2024    19.54    31.20           0.00         1.59
73    15      3  2024    18.79    31.88           0.00         1.62
74    16      3  2024    18.55    32.00           0.00         1.67
75    17      3  2024    19.41    31.81           0.00         1.61
76    18      3  2024    19.22    31.92           0.38         1.50
77    19      3  2024    19.95    31.52           0.57         1.67
78    20      3  2024    19.36    29.43           3.19         1.27
79    21      3  2024    19.31    27.53          19.32         1.01
80    22      3  2024    20.07    28.58           0.57         1.32
81    23      3  2024    19.99    28.33           0.81         1.59
82    24      3  2024    19.92    28.87           2.41         1.49
83    25      3  2024    20.05    27.77           1.67         1.39
84    26      3  2024    20.72    31.11           0.08         1.67
85    27      3  2024    20.92    30.39           0.41         1.47
86    28      3  2024    20.44    31.23           0.09         1.63
87    29      3  2024    18.23    30.52           0.37         1.36
88    30      3  2024    19.13    28.35          21.45         1.01
89    31      3  2024    20.08    24.73          23.82         0.37
90     1      4  2024    20.26    26.55          17.08         1.04
91     2      4  2024    19.24    28.55           1.83         1.26
92     3      4  2024    19.11    28.12           2.56         1.66
93     4      4  2024    18.26    28.73           2.90         1.45
94     5      4  2024    19.17    28.46           4.70         1.06
95     6      4  2024    18.58    29.75           0.35         1.34
96     7      4  2024    18.14    27.96           0.00         0.91
97     8      4  2024    15.60    30.41           0.00         1.64
98     9      4  2024    17.93    30.01           0.00         1.54
99    10      4  2024    18.80    30.15           0.00         1.70
100   11      4  2024    19.80    30.93           0.01         1.55
101   12      4  2024    20.44    29.35           0.18         1.44
102   13      4  2024    20.57    31.23           0.27         1.31
103   14      4  2024    22.12    28.25           1.03         1.19
104   15      4  2024    20.43    29.29           4.58         1.26
105   16      4  2024    19.27    29.45           4.14         1.06
106   17      4  2024    19.00    31.31           0.05         1.73
107   18      4  2024    19.56    31.18           0.03         1.97
108   19      4  2024    16.94    31.70           0.01         2.03
109   20      4  2024    18.81    31.52           0.09         1.55
110   21      4  2024    20.16    32.43           0.03         1.90
111   22      4  2024    19.21    33.09           0.02         1.93
112   23      4  2024    20.13    32.88           0.09         1.95
113   24      4  2024    20.97    31.25           0.19         1.75
114   25      4  2024    20.55    33.05           0.04         1.97
115   26      4  2024    22.06    33.20           0.24         1.80
116   27      4  2024    21.87    33.76           0.18         1.90
117   28      4  2024    21.51    29.31           1.12         1.65
118   29      4  2024    20.44    26.44          18.42         0.38
119   30      4  2024    20.77    27.88          20.82         1.15
120    1      5  2024    20.89    27.11          39.30         1.09
121    2      5  2024    21.06    27.52           6.57         1.45
122    3      5  2024    21.31    25.43           6.81         1.12
123    4      5  2024    20.40    28.99           1.74         1.38
124    5      5  2024    20.81    29.69           0.40         1.59
125    6      5  2024    20.13    30.40           0.09         1.90
126    7      5  2024    19.09    29.87           0.30         1.41
127    8      5  2024    20.06    28.59           0.14         1.28
128    9      5  2024    20.30    30.23           0.07         1.76
129   10      5  2024    19.71    31.86           0.07         1.73
130   11      5  2024    20.94    31.84           0.22         1.51
131   12      5  2024    22.38    28.88           0.76         1.47
132   13      5  2024    21.59    29.98           0.34         1.63
133   14      5  2024    22.45    28.07           1.01         1.50
134   15      5  2024    21.90    30.43           0.45         1.72
135   16      5  2024    22.40    27.81           5.06         1.13
136   17      5  2024    21.17    28.47           6.35         0.89
137   18      5  2024    21.66    25.23           4.82         0.97
138   19      5  2024    20.98    27.02          18.85         1.15
139   20      5  2024    20.73    28.51           9.31         1.31
140   21      5  2024    21.23    26.85          27.32         1.38
141   22      5  2024    20.60    25.15          17.49         1.06
142   23      5  2024    20.26    25.70           4.18         0.94
143   24      5  2024    19.51    27.76           1.67         1.35
144   25      5  2024    20.96    27.40           2.82         1.12
145   26      5  2024    20.66    24.36          12.05         0.78
146   27      5  2024    20.15    25.16          12.68         0.80
147   28      5  2024    19.75    25.74          10.86         1.46
148   29      5  2024    20.52    26.56           5.94         1.23
149   30      5  2024    21.05    26.93           0.35         1.11
150   31      5  2024    20.55    29.04           2.22         1.40
151    1      6  2024    21.93    26.60          12.15         1.21
152    2      6  2024    21.46    26.32          11.73         1.39
153    3      6  2024    20.32    26.68           1.53         1.55
154    4      6  2024    20.89    26.95           5.94         1.57
155    5      6  2024    18.70    28.42           8.57         1.58
156    6      6  2024    21.17    28.73           0.43         1.56
157    7      6  2024    21.77    28.63           2.63         1.45
158    8      6  2024    20.72    28.72          11.77         1.42
159    9      6  2024    20.88    28.50           1.72         1.56
160   10      6  2024    21.63    26.78          12.24         1.36
161   11      6  2024    21.10    28.02           2.79         1.52
162   12      6  2024    21.39    26.24           6.94         1.34
163   13      6  2024    20.53    28.18           0.26         1.69
164   14      6  2024    21.06    27.78           1.95         1.53
165   15      6  2024    21.24    27.10           3.73         1.47
166   16      6  2024    21.79    28.15           0.18         1.40
167   17      6  2024    21.72    28.82           0.06         1.57
168   18      6  2024    21.36    28.52           0.20         1.41
169   19      6  2024    21.53    26.70           0.48         1.32
